mpa_eff,Type.of.Zone,MPA.age,MPA.Size,NTZ.area,percent.fishers.primary,percent.fishers.p.t,diversity.primary.livelihoods,Attachment.Score,PercentProtein,PercentIncomeFish,harvest.rights,management.rights,num.local.threat,marine.group.percent,other.group.percent,decision.making.participation,rule.making.participation,groups.monitor.eco,groups.monitor.soc,groups.monitor.compliance,groups.enforcing.pens,clear.boundaries,user.spec.rules,govt.support,rules.match.eco,rules.match.soc,penatly.frequency,graduated.sanctions,penalties.match.offense
0.145122403,USE,4,353531,53615,0.362615604,0.850107161,4.483018942,4.016358287,4.321789961,3.341662796,1.45678771,1.130965386,2.164917482,0.189191011,0.893702552,0.827013664,0.814473175,0.961447305,0.961447305,0.961447305,0.055911295,7.298003615,0.268622032,3.705690348,1.104124009,1.058037524,1.132016886,5.337088652,3.285460215
0.518809298,USE,4,353531,53615,0.482671423,0.932115399,4.185053955,4.000015348,4.728091985,3.471391211,1.648474239,1.276127101,2.297127773,0.172182532,0.888776538,0.450441149,0.644956243,0.957857357,0.957857357,0.957857357,0.728835742,4.773252264,0.377363928,3.394188709,3.017676559,2.072358805,2.03175277,3.702431443,3.445578019
0.069626617,USE,4,353531,53615,0.523683047,0.936526609,4.00047788,3.992517974,4.77691156,3.551437453,1.653031426,1.273879573,2.293508743,0.168989542,0.883041842,0.407893656,0.680238246,0.970256074,0.970256074,0.970256074,0.82091541,4.425549611,0.356028124,3.378716012,3.400972314,2.258693102,2.150031251,3.477614189,3.394695129
0.19681119,USE,4,353531,53615,0.30304126,0.919868862,5.382873478,4.061371363,4.518460145,3.15939563,1.628184739,1.229254081,2.318517829,0.141794867,0.920681052,0.544439251,0.469619711,0.88329021,0.88329021,0.88329021,0.103745921,6.250054797,0.725044167,3.217706861,1.06442543,1.035789537,1.267591905,5.154688544,3.799046061
1.11494658,NTZ,4,353531,53615,0.546342945,0.937095376,3.896931839,3.993409107,4.784355175,3.612710676,1.645262967,1.264214941,2.311359874,0.161572672,0.878179316,0.399331061,0.706404474,0.977474619,0.977474619,0.977474619,0.8516757,4.319361805,0.353620421,3.382005314,3.608172812,2.378707602,2.212896289,3.468226883,3.405144586
-0.332590878,USE,4,353531,53615,0.460727075,0.915774459,4.287241171,4.011351732,4.662918061,3.45541273,1.619806578,1.271328935,2.306128856,0.189599557,0.885287786,0.530469434,0.656821733,0.946330359,0.946330359,0.946330359,0.630122224,5.319665713,0.386245952,3.430216869,2.720007186,1.97731156,2.023228765,3.987526541,3.466586981
1.915169803,USE,4,353531,53615,0.177347175,0.96667772,5.079407161,3.99671989,4.541879712,2.73535213,1.74240949,1.43028576,2.401822163,0.167257009,0.951285801,0.632489714,0.205794446,0.973851838,0.973851838,0.973851838,0.689395931,5.428123943,0.252268587,3.729038679,1.125865023,1.069442144,1.117522302,4.09293198,3.89330927
1.49893872,NTZ,4,353531,53615,0.344631523,0.922271004,4.573273774,4.006248715,4.591811492,3.165673707,1.649381588,1.248130729,2.227026554,0.172756551,0.908096735,0.517959469,0.529655413,0.835592082,0.835592082,0.835592082,0.412164617,5.898959615,0.393602985,3.401613216,1.877132487,1.494907065,1.832349716,4.169341578,3.504580777
-0.476526501,USE,2,49451,14684,0.516706715,0.714298997,4.004193149,4.039936432,4.826792901,3.939275609,1.588012911,0.948072479,2.923634531,0.192855444,0.688116162,0.146317224,0.135168292,0.698426253,0.679991751,0.99256804,0.987393337,5.000553874,0.093228975,4.074869016,2.887545899,3.383775685,2.774916174,2.946672073,2.906298764
-0.784960919,USE,2,49451,14684,0.516706715,0.714298997,4.004193149,4.039936432,4.826792901,3.939275609,1.588012911,0.948072479,2.923634531,0.192855444,0.688116162,0.146317224,0.135168292,0.698426253,0.679991751,0.99256804,0.987393337,5.000553874,0.093228975,4.074869016,2.887545899,3.383775685,2.774916174,2.946672073,2.906298764
-1.606151688,NTZ,2,49451,14684,0.51077777,0.716989175,3.963031824,4.028029143,4.804009258,3.810313302,1.579044718,0.938694529,2.910310833,0.204209837,0.685720697,0.188121226,0.175498338,0.732359758,0.710143175,0.988959296,0.981443191,5.286825389,0.113996317,4.0413261,3.163396659,3.499439208,3.069915893,3.046015184,3.021718997
-1.351092722,USE,2,49451,14684,0.504350933,0.72185704,4.028064153,4.0336129,4.81989319,3.844505763,1.591112497,0.930535169,2.870243521,0.19658664,0.701769783,0.218021453,0.20695799,0.737261185,0.710073696,0.985817359,0.976108922,5.224384584,0.12096647,4.049704677,3.089215527,3.403742448,3.00568225,3.049584034,2.990939433
-2.510736928,NTZ,2,49451,14684,0.517576721,0.715655242,3.902239489,4.024464069,4.791514061,3.78420287,1.575279461,0.943865312,2.915508716,0.209086249,0.673474813,0.179637504,0.165811047,0.746514079,0.726248383,0.990147986,0.983390191,5.364496982,0.113752443,4.02922065,3.251877435,3.590318027,3.162588324,3.065506554,3.07440578
-0.618270263,USE,2,49451,14684,0.529305834,0.710443853,3.803795254,4.018590499,4.771199765,3.751582586,1.564031256,0.955924466,2.95229397,0.217752816,0.650675485,0.144154298,0.128260124,0.751261352,0.736804869,0.993929995,0.989740138,5.443416773,0.105514219,4.016426879,3.35077989,3.72803871,3.255454029,3.067023427,3.129669305
-0.719831347,USE,2,49451,14684,0.53591365,0.701820139,3.670744852,4.001889581,4.733257501,3.640829744,1.535441892,0.96571106,3.026703973,0.237281804,0.620760825,0.101891142,0.082512005,0.744788345,0.738162556,0.998278277,0.997094166,5.657104115,0.097872132,3.989857369,3.586430761,3.96342524,3.474233489,3.097172561,3.22157986
-0.994271735,USE,2,49451,14684,0.594106387,0.700265363,3.060263855,3.956716526,4.585776144,3.185873814,1.503197495,0.996693017,3.001643198,0.294452278,0.510976285,0.131533673,0.099447379,0.977778906,0.977081854,0.999763426,0.999602675,6.88351713,0.145774766,3.816579584,4.876818843,4.907740225,4.867200079,3.465527028,3.931747737
-0.560279004,USE,2,49451,14684,0.522013154,0.711528662,3.923577955,4.031380925,4.804832127,3.870765068,1.576512083,0.952710424,2.94577799,0.203018988,0.671886313,0.136252879,0.123165732,0.711649573,0.695856367,0.993855779,0.98959247,5.154462724,0.09454499,4.054561101,3.051652479,3.519786888,2.940467342,2.982271837,2.982702883
